Player,Team,Age,Pos,G,GS,Tgt,Rec,Yds,1D,YBC,YBC/R,YAC,YAC/R,BrkTkl,Rec/Br,Drop,Drop%
Keke Coutee,HOU,22,WR,9,4,36,22,254,10,114,5.2,140,6.4,3,7.3,1,2.8
Josh Hill,NOR,29,TE,16,11,35,25,226,13,67,2.7,159,6.4,0,,1,2.9
David Montgomery,CHI,22,RB,16,8,35,25,185,7,29,1.2,156,6.2,6,4.2,2,5.7
Tajae Sharpe,TEN,25,WR,15,6,35,25,329,20,271,10.8,58,2.3,0,,0,0
Keelan Cole,JAX,26,WR,16,1,35,24,361,19,262,10.9,99,4.1,0,,1,2.9
Isaiah Ford,MIA,23,RB,8,0,35,23,244,16,158,6.9,86,3.7,4,5.8,1,2.9
Seth Roberts,BAL,28,WR,16,0,35,21,271,18,201,9.6,70,3.3,0,,0,0
LeSean McCoy,KAN,31,RB,13,9,34,28,181,6,-55,-2,236,8.4,1,28,1,2.9
David Moore,SEA,24,WR,14,1,34,17,301,14,173,10.2,128,7.5,3,5.7,1,2.9
Pharoh Cooper,2TM,24,WR,13,1,33,25,243,10,173,6.9,70,2.8,0,,1,3
Jakeem Grant,MIA,27,WR,10,2,33,19,164,9,77,4.1,87,4.6,0,,1,3
Marcus Johnson,IND,25,WR,8,6,33,17,277,12,234,13.8,43,2.5,0,,3,9.1
Dion Lewis,TEN,29,RB,16,1,32,25,164,7,-29,-1.2,193,7.7,2,12.5,2,6.3
Ty Johnson,DET,22,RB,16,1,31,24,109,4,22,0.9,87,3.6,1,24,2,6.5
Delanie Walker,TEN,35,TE,7,4,31,21,215,11,149,7.1,66,3.1,0,,2,6.5
Vyncint Smith,NYJ,23,WR,13,4,31,17,225,11,120,7.1,105,6.2,2,8.5,2,6.5
Tim Patrick,DEN,26,WR,8,2,31,16,218,14,180,11.3,38,2.4,1,16,1,3.2
Patrick Laird,MIA,24,RB,15,4,30,23,204,13,28,1.2,176,7.7,2,11.5,2,6.7
Tevin Coleman,SFO,26,RB,14,11,30,21,180,9,-24,-1.1,204,9.7,0,,2,6.7
Ian Thomas,CAR,23,TE,16,3,30,16,136,10,63,3.9,73,4.6,0,,3,10
Mark Ingram,BAL,30,RB,15,15,29,26,247,16,27,1,220,8.5,2,13,0,0
