player,team,age,position,games,games_started,targets,receptions,Catch%,yards,Y/R,td,1D,Lng,Y/Tgt,R/G,Y/G,fumbles,YBC,YBC/R,YAC,YAC/R,Broken Tackles,Rec/BR,Drops,Drop%
Adam Humphries,TEN,26,,12,3,47,37,0.787,374,10.1,2,20,30,8,3.1,31.2,1,254,6.9,120,3.2,0,,1,2.1
Trey Quinn,WAS,24,wr,12,6,47,26,0.553,198,7.6,1,10,19,4.2,2.2,16.5,1,137,5.3,61,2.3,0,,1,2.1
Josh Gordon,2TM,28,,11,7,47,27,0.574,426,15.8,1,16,58,9.1,2.5,38.7,0,284,10.5,142,5.3,4,6.8,2,4.3
Dare Ogunbowale,TAM,25,,16,0,46,35,0.761,286,8.2,0,14,21,6.2,2.2,17.9,2,79,2.3,207,5.9,2,17.5,2,4.3
Willie Snead,BAL,27,WR,16,11,46,31,0.674,339,10.9,5,20,50,7.4,1.9,21.2,0,213,6.9,126,4.1,1,31,1,2.2
Damiere Byrd,ARI,26,,11,3,46,32,0.696,359,11.2,1,16,58,7.8,2.9,32.6,1,209,6.5,150,4.7,3,10.7,1,2.2
Joe Mixon,CIN,23,RB,16,15,45,35,0.778,287,8.2,3,14,33,6.4,2.2,17.9,0,-44,-1.3,331,9.5,4,8.8,1,2.2
Olabisi Johnson,MIN,22,,16,6,45,31,0.689,294,9.5,3,17,23,6.5,1.9,18.4,0,226,7.3,68,2.2,0,,0,0
Zay Jones,2TM,24,,15,9,45,27,0.6,216,8,0,10,23,4.8,1.8,14.4,0,139,5.1,77,2.9,0,,1,2.2
Jamaal Williams,GNB,24,,14,2,45,39,0.867,253,6.5,5,16,17,5.6,2.8,18.1,0,-26,-0.7,279,7.2,10,3.9,1,2.2
Jonnu Smith,TEN,24,TE,16,14,44,35,0.795,439,12.5,3,16,57,10,2.2,27.4,0,166,4.7,273,7.8,6,5.8,2,4.5
Kelvin Harmon,WAS,23,WR,16,8,44,30,0.682,365,12.2,0,16,30,8.3,1.9,22.8,0,271,9,94,3.1,2,15,2,4.5
Kendrick Bourne,SFO,24,,16,0,44,30,0.682,358,11.9,5,23,30,8.1,1.9,22.4,0,236,7.9,122,4.1,2,15,3,6.8
Kareem Hunt,CLE,24,,8,3,44,37,0.841,285,7.7,1,17,29,6.5,4.6,35.6,1,9,0.2,276,7.5,4,9.3,2,4.5
Jalen Richard,OAK,26,,16,0,43,36,0.837,323,9,0,15,33,7.5,2.3,20.2,2,87,2.4,236,6.6,1,36,3,7
Latavius Murray,NOR,29,rb,16,8,43,34,0.791,235,6.9,1,9,30,5.5,2.1,14.7,0,-49,-1.4,284,8.4,5,6.8,3,7
Nick Boyle,BAL,26,TE,16,15,43,31,0.721,321,10.4,2,13,35,7.5,1.9,20.1,0,161,5.2,160,5.2,0,,2,4.7
Giovani Bernard,CIN,28,,16,2,43,30,0.698,234,7.8,0,7,35,5.4,1.9,14.6,2,32,1.1,202,6.7,3,10,2,4.7
Josh Reynolds,LAR,24,,16,2,43,21,0.488,326,15.5,1,15,31,7.6,1.3,20.4,0,187,8.9,139,6.6,6,3.5,3,7
J.D. McKissic,DET,26,,16,3,42,34,0.81,233,6.9,1,7,26,5.5,2.1,14.6,0,-4,-0.1,237,7,3,11.3,0,0
Cody Latimer,NYG,27,wr,15,10,42,24,0.571,300,12.5,2,19,43,7.1,1.6,20,0,231,9.6,69,2.9,0,,1,2.4
Paul Richardson,WAS,27,WR,10,6,42,28,0.667,245,8.8,2,13,22,5.8,2.8,24.5,0,195,7,50,1.8,0,,2,4.8
KeeSean Johnson,ARI,23,,10,4,42,21,0.5,187,8.9,1,10,31,4.5,2.1,18.7,1,144,6.9,43,2,0,,3,7.1
Kaden Smith,NYG,22,te,9,6,42,31,0.738,268,8.6,3,12,32,6.4,3.4,29.8,2,177,5.7,91,2.9,1,31,1,2.4
DeAndre Washington,OAK,26,,16,3,41,36,0.878,292,8.1,0,10,28,7.1,2.3,18.3,0,46,1.3,246,6.8,0,,2,4.9
Blake Jarwin,DAL,25,te,16,7,41,31,0.756,365,11.8,3,17,42,8.9,1.9,22.8,1,208,6.7,157,5.1,1,31,1,2.4
Mecole Hardman,KAN,21,wr,16,5,41,26,0.634,538,20.7,6,18,83,13.1,1.6,33.6,2,246,9.5,292,11.2,2,13,1,2.4
Jakobi Meyers,NWE,23,,15,1,41,26,0.634,359,13.8,0,17,35,8.8,1.7,23.9,0,245,9.4,114,4.4,3,8.7,2,4.9
Ryan Griffin,NYJ,29,TE,13,13,41,34,0.829,320,9.4,5,19,45,7.8,2.6,24.6,0,138,4.1,182,5.4,2,17,2,4.9
Devin Singletary,BUF,22,RB,12,8,41,29,0.707,194,6.7,2,5,49,4.7,2.4,16.2,4,1,0,193,6.7,3,9.7,4,9.8
Ronald Jones II,TAM,22,RB,16,9,40,31,0.775,309,10,0,12,41,7.7,1.9,19.3,3,19,0.6,290,9.4,5,6.2,1,2.5
C.J. Uzomah,CIN,26,TE,16,16,40,27,0.675,242,9,2,12,36,6.1,1.7,15.1,0,107,4,135,5,1,27,2,5
Jeremy Sprinkle,WAS,25,TE,16,13,40,26,0.65,241,9.3,1,13,23,6,1.6,15.1,1,150,5.8,91,3.5,0,,4,10
Greg Ward,PHI,24,,7,3,40,28,0.7,254,9.1,1,18,38,6.4,4,36.3,0,160,5.7,94,3.4,1,28,0,0
Hayden Hurst,BAL,26,,16,4,39,30,0.769,349,11.6,2,16,61,8.9,1.9,21.8,0,201,6.7,148,4.9,1,30,0,0
Javon Wims,CHI,25,wr,16,6,39,18,0.462,186,10.3,1,9,37,4.8,1.1,11.6,0,141,7.8,45,2.5,0,,3,7.7
Isaiah McKenzie,BUF,24,WR,15,8,39,27,0.692,254,9.4,1,12,46,6.5,1.8,16.9,0,48,1.8,206,7.6,1,27,2,5.1
